79	1320667.3345	2254564.9485
80	1320667.3086	2254565.0451
81	1320667.2828	2254565.1417
82	1320667.2570	2254565.2383
83	1320667.2311	2254565.3349
84	1320667.2053	2254565.4315
85	1320667.1795	2254565.5281
86	1320667.1535	2254565.6247
87	1320667.1276	2254565.7213
88	1320667.1018	2254565.8179
89	1320667.0759	2254565.9145
90	1320667.0500	2254566.0111
91	1320667.0241	2254566.1077
92	1320666.9981	2254566.2042
93	1320666.9722	2254566.3008
94	1320666.9463	2254566.3974
95	1320666.9204	2254566.4940
96	1320666.8944	2254566.5906
97	1320666.8685	2254566.6871
98	1320666.8425	2254566.7837
99	1320666.8165	2254566.8803
100	1320666.7905	2254566.9768
101	1320666.7645	2254567.0734
102	1320666.7386	2254567.1700
103	1320666.7125	2254567.2665
104	1320666.6866	2254567.3631
105	1320666.6605	2254567.4596
106	1320666.6345	2254567.5562
107	1320666.6084	2254567.6527
108	1320666.5824	2254567.7493
109	1320666.5563	2254567.8458
110	1320666.5302	2254567.9424
111	1320666.5042	2254568.0389
112	1320666.4781	2254568.1355
113	1320666.4520	2254568.2320
114	1320666.4259	2254568.3285
115	1320666.3998	2254568.4251
116	1320666.3737	2254568.5216
117	1320666.3475	2254568.6181
118	1320666.3214	2254568.7147
119	1320666.2953	2254568.8112
120	1320666.2691	2254568.9077
121	1320666.2430	2254569.0042
122	1320666.2168	2254569.1007
123	1320666.1907	2254569.1973
124	1320666.1645	2254569.2938
125	1320666.1383	2254569.3903
126	1320666.1121	2254569.4868
127	1320666.0860	2254569.5833
128	1320666.0597	2254569.6798
129	1320666.0335	2254569.7763
130	1320666.0073	2254569.8728
131	1320665.9810	2254569.9693
132	1320665.9548	2254570.0658
133	1320665.9285	2254570.1623
134	1320665.9023	2254570.2588
135	1320665.8760	2254570.3553
136	1320665.8498	2254570.4518
137	1320665.8235	2254570.5483
138	1320665.7972	2254570.6448
139	1320665.7708	2254570.7412
140	1320665.7446	2254570.8377
141	1320665.7182	2254570.9342
142	1320665.6919	2254571.0307
143	1320665.6656	2254571.1271
144	1320665.6393	2254571.2236
145	1320665.6129	2254571.3201
146	1320665.5865	2254571.4165
147	1320665.5602	2254571.5130
148	1320665.5338	2254571.6095
149	1320665.5074	2254571.7059
150	1320665.4810	2254571.8024
151	1320665.4546	2254571.8988
152	1320665.4283	2254571.9953
153	1320665.4019	2254572.0918
154	1320665.3755	2254572.1882
155	1320665.3490	2254572.2847
156	1320665.3226	2254572.3811
157	1320665.2961	2254572.4775
158	1320665.2697	2254572.5740
159	1320665.2432	2254572.6704
160	1320665.2168	2254572.7669
161	1320665.1903	2254572.8633
162	1320665.1639	2254572.9597
163	1320665.1374	2254573.0562
164	1320665.1108	2254573.1526
165	1320665.0843	2254573.2490
166	1320665.0578	2254573.3454
167	1320665.0313	2254573.4419
168	1320665.0048	2254573.5383
169	1320664.9782	2254573.6347
170	1320664.9517	2254573.7311
171	1320664.9252	2254573.8275
172	1320664.8986	2254573.9239
173	1320664.8721	2254574.0203
174	1320664.8454	2254574.1167
175	1320664.8189	2254574.2132
